"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Ocean Swim","Swim","","","","2018-06-30","","227.369995117188","","",""," *06/30/2018 David Henkel: TomTom MySports Watch*","0.0272222217172384","1.66999995708466","","","","114","136","","","2.02983555341832","22.77","1","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-06-30","","32401.689453125","196","562","647.824","","0.916159987449646","9.82400035858154","","91","","","","","","0.771240150451016","54.1","","","","","","","","","","","10","16","17","8","3","1","","","","","",""
"Running","Run","","","","2018-06-30","","3247.77001953125","","",""," *07/01/2018 David Henkel: TomTom MySports Watch*","0.259999990463257","2.85999989509583","","","","149","181","","","0.957062385656752","25.51","4","5","4","2","0","1","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-07-01","","7634.81005859375","","",""," *07/01/2018 David Henkel: TomTom MySports Watch*","0.563055574893951","2.97000002861023","","","","169","222","","","1.0501333913932","67.8","1","3","6","7","8","6","0","","","","","","","","","","","","","","",""
"Cape May Run...Oceanside","Run","","","","2018-07-02","","1699.5","","",""," *07/02/2018 David Henkel: TomTom MySports Watch*","0.153055548667908","3.07999992370605","","","","166","190","","","0.844158627878936","11.53","1","0","2","3","2","1","1","","","","","","","","","","","","","","",""
"Convention Center -> The Cove","Swim","","","","2018-07-02","","2247.34008789063","","",""," *07/02/2018 David Henkel: TomTom MySports Watch*","0.335555553436279","1.62000000476837","","","","141","166","","","1.62762981805473","50","12","7","1","0","0","0","0","","","","","","","","","","","","","","",""
"","Other","Surfing the Cove","","","2018-07-02","","862.549987792969","","",""," *07/02/2018 David Henkel: TomTom MySports Watch*","0.183888882398605","0.699999988079071","","","","120","143","","","0.614716226041158","7.39","9","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-07-02","","52426.5","195","632","1062.965","","1.501549243927","9.69900035858154","","91","","","","","","0.786349638749074","93.05","","","","","","","","","","","18","28","29","11","2","3","","","","","",""
"Ocean Swim","Swim","","","","2018-07-04","","1554.47999763719","","",""," *07/04/2018 David Henkel: TomTom MySports Watch*","0.378333330154419","1.14132159375813","","","","147","189","","","2.14233876528647","34","7","6","2","2","1","1","2","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-07-04","","6748.0498046875","","",""," *07/04/2018 David Henkel: TomTom MySports Watch*","0.503055572509766","3","","","","160","179","","","1.04674714374648","60.02","3","3","6","13","3","2","0","","","","","","","","","","","","","","",""
"","Run","Beach Run","","","2018-07-04","","804.672248946282","","","","","0.0833333333333333","2.68224082982094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-07-05","","48532.171875","188","634","962.903","","1.42388832569122","9.4680004119873","","89","","","","","","0.747899783724683","78.91","","","","","","","","","","","19","26","27","10","2","2","","","","","",""
"","Run","Beach Run","","","2018-07-06","","804.672248946282","","","","","0.0833333333333333","2.68224082982094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-07-06","","8087.81982421875","","",""," *07/07/2018 David Henkel: TomTom MySports Watch*","0.755833327770233","2.63000011444092","","","","144","163","","","0.829981591378943","57.28","16","24","4","0","0","0","0","","","","","","","","","","","","","","",""
"Ocean Swim","Swim","","","","2018-07-06","","1315.56005859375","","",""," *07/07/2018 David Henkel: TomTom MySports Watch*","0.226666674017906","1.16999995708466","","","","127","152","","","1.41050385330061","25","11","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-07-07","","40439.23046875","","",""," *07/07/2018 David Henkel: TomTom MySports Watch*","2","5.61655978732639","","","","111","172","","","0.598432104948296","101.1","93","46","8","2","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-07-08","","33933.05078125","207","714","766.162","","1.02699363231659","9.17800045013428","","89","","","","","","0.877636552557943","78.19","","","","","","","","","","","15","10","12","13","8","4","","","","","",""
"Running","Run","","","","2018-07-08","","4856.35986328125","","",""," *07/09/2018 David Henkel: TomTom MySports Watch*","0.37222221493721","3.25999999046326","","","","144","164","","","0.996601244764181","39.95","8","10","3","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-07-10","","4552.97021484375","","",""," *07/10/2018 David Henkel: TomTom MySports Watch*","0.375555545091629","0.939999997615814","","","","143","188","","","0.949883104559062","36.66","9","6","4","1","0","0","0","","","","","","","","","","","","","","",""
"","Swim","Easy swim with some pick-ups","","","2018-07-10","","1371.59999791517","","","","","0.366666666666667","1.03909090751149","","","","","","","","0.909090909090909","27.55","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-07-11","","18230.080078125","130","642","367.327","","0.785688877105713","6.44500017166138","","84","","","","","","0.713584627946259","39.6","","","","","","","","","","","30","8","3","2","1","3","","","","","",""
"Cycling","Bike","","","","2018-07-11","","20055.630859375","172","905","462.23","","0.745394706726074","7.47399997711182","","84","","","","","","0.768097000361168","43.53","","","","","","","","","","","20","10","5","4","2","4","","","","","",""
"Cycling","Bike","","","","2018-07-13","","16471.099609375","236","619","395.949","","0.467145293951035","9.79399967193604","","92","","","","","","0.913212757392827","38.26","","","","","","","","","","","3","5","8","6","4","2","","","","","",""
"","Swim","Swim Warmup","","","2018-07-14","","426.880004882813","","",""," *07/14/2018 David Henkel: TomTom MySports Watch*","0.124722220003605","0.930000007152557","","","","134","168","","","0.831789147702997","7.18","5","1","0","1","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-07-14","","21976.080078125","248","578","508.26","","0.569570600986481","10.7180004119873","","93","","","","","","0.927418872749157","48.29","","","","","","","","","","","2","4","9","13","5","1","","","","","",""
"Running","Run","","","","2018-07-14","","4742.2001953125","","",""," *07/14/2018 David Henkel: TomTom MySports Watch*","0.316944450139999","4.15999984741211","","","","165","182","","","1.16560280779543","46.35","0","1","4","6","3","5","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-07-14","","22216.390625","","",""," *07/14/2018 David Henkel: TomTom MySports Watch*","1.16805553436279","4.80000019073486","","","","113","151","","","0.595771780871575","46.11","38","32","0","0","0","","","","","","","","","","","","","","","","",""
"","Swim","","","","2018-07-14","","731.51999888809","","","","","0.208333333333333","0.975359998517453","","","","","","","","0.853333333333333","12.95","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-07-16","","6493.7998046875","","",""," *07/16/2018 David Henkel: TomTom MySports Watch*","0.51972222328186","2.69000005722046","","","","154","181","","","0.908203317781264","46.72","7","6","6","9","1","1","0","","","","","","","","","","","","","","",""
"Couple of 6' efforts before the All-Star Game","Bike","","","","2018-07-17","","25181.259765625","224","287","670.006","","0.829683005809784","8.43000030517578","","0","","0","0","","","0.863842980954977","55.7","","","","","","","","","","","7","14","8","22","0","0","","","","","",""
"2 x 5' LT + Short Killer Sprints","Bike","","","","2018-07-18","","25774.779296875","226","645","657.626","","0.80958890914917","8.8430004119873","","0","","0","0","","","0.943702766406483","68.43","","","","","","","","","","","12","15","7","5","5","7","","","","","",""
"","Swim","Get off the bike and run hard! Mile 1 should be building to Olympic Pace RPE. Mile 2 should be Sprint Pace RPE. There should be at least 30 second per mile difference between your sprint and Olympic RPE","","","2018-07-19","","2602.90991210938","","",""," *07/19/2018 David Henkel: TomTom MySports Watch*","0.425555557012558","0.959999978542328","","","","142","180","","","1.48646312733088","139.77","13","7","2","1","1","0","0","","","","","","","","","","","","","","",""
"Surfing at the Cove","Other","","","","2018-07-19","","970.530029296875","","",""," *07/19/2018 David Henkel: TomTom MySports Watch*","0.335555553436279","0.600000023841858","","","","112","139","","","0.597946642826369","12.92","11","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-07-19","","6457.22998046875","","",""," *07/19/2018 David Henkel: TomTom MySports Watch*","0.463888883590698","3.5699999332428","","","","171","209","","","1.06889238600504","57.63","3","4","3","2","2","2","5","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-07-20","","36470.8203125","","",""," *07/22/2018 David Henkel: TomTom MySports Watch*","2.01833343505859","5.01999998092651","","","","112","151","","","0.590778437985275","79.42","69","51","1","0","0","","","","","","","","","","","","","","","","",""
"Zwift - New Workout","Bike","","","","2018-07-21","","24413.23046875","237","381","594.475","","0.696944415569305","9.72999954223633","","0","","0","0","","","0.94490656130113","61.56","","","","","","","","","","","7","4","14","5","11","2","","","","","",""
"Zwift - Watopia","Bike","","","","2018-07-21","","11605.0595703125","214","440","261.022","","0.339166671037674","9.50399971008301","","0","","0","0","","","0.836016097130534","23.17","","","","","","","","","","","3","8","7","2","1","1","","","","","",""
"Treadmill Running","Run","","","","2018-07-21","","2801.36010742188","","",""," *07/22/2018 David Henkel: TomTom MySports Watch*","0.231111109256744","3.1800000667572","","","","146","162","","","0.973592162970505","23.4","4","7","3","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","Purpose: This workout reinforces 5K race pace and subsequently increases threshold with shorter intervals run just faster than threshold pace/heart rate. Perform it: After warming up, run 4x800m (1:30 stop and rest) at target 5K race pace (no faster, no slower). Take an extra rest. Perform 4x400m (1:00 stop and rest) at faster than 5K race pace. This will be tough on short rest. Cool down.","","","2018-07-22","","8057.10009765625","","",""," *07/22/2018 David Henkel: TomTom MySports Watch*","0.535833358764648","1.95000004768372","","","","146","175","","","1.20702768206075","85.19","11","7","4","5","3","1","0","","","","","","","","","","","","","","",""
"Richmond...right hammie got wonky. too much too soon from track workout","Bike","","","","2018-07-23","","28686.869140625","244","572","693.097","","0.789722204208374","10.0900001525879","","0","","0","0","","","0.943058929594202","69.44","","","","","","","","","","","4","10","13","12","4","4","","","","","",""
"","Swim","4 x 400 in condo pool before the storm","","","2018-07-25","","1554.47999763719","","","","","0.4","1.07949999835916","","","","","","","","0.944444444444444","33.7","","","","","","","","","","","","","","","","","","","","","",""
"3 x 7' @ 95%, 100%, 105% FTP","Bike","Fire up the legs! It's time to do some serious work. Push that last effort. . 15' WU (progressive) 5' High AeT . 4 x (7' LT + 3' Easy)","","","2018-07-26","","30378.91015625","239","298","722.556","","0.838888883590698","10.0590000152588","","0","","0","0","","","0.902520552029755","67.65","","","","","","","","","","","3","11","15","17","7","0","","","","","",""
"Running","Run","","","","2018-07-26","","6611.8798828125","","",""," *07/26/2018 David Henkel: TomTom MySports Watch*","0.523333311080933","2.89000010490417","","","","150","176","","","0.980233912875101","54.81","4","14","10","1","1","0","0","","","","","","","","","","","","","","",""
"","Swim","Swim with Josh....long sets","","","2018-07-27","","2500","","","","","0.6","1.15740740740741","","","","","","","","1.01260490740741","62.3","","","","","","","","","","","","","","","","","","","","","",""
"Zwift before strong run","Bike","","","","2018-07-28","","27472.859375","249","541","688.976","","0.768333315849304","9.93200016021729","","0","","0","0","","","0.952022801701239","69.02","","","","","","","","","","","2","8","16","10","5","5","","","","","",""
"Running","Run","","","","2018-07-28","","2004.91003417969","","",""," *07/28/2018 David Henkel: TomTom MySports Watch*","0.139444440603256","1.52999997138977","","","","143","178","","","1.13941073270804","19.13","3","2","1","1","0","1","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-07-28","","4550.330078125","","",""," *07/28/2018 David Henkel: TomTom MySports Watch*","0.335833340883255","2.05999994277954","","","","148","188","","","1.0789300254367","42.14","5","4","4","2","1","1","1","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-07-29","","53444.1484375","237","533","1281.272","","1.50188744068146","9.88500022888184","","86","","","","","","0.969605988673575","139.39","","","","","","","","","","","15","10","15","22","19","8","","","","","",""
"","Run","","","","2018-07-29","","5307.919921875","","",""," *07/30/2018 David Henkel: TomTom MySports Watch*","0.420833319425583","3.11999988555908","","","","148","168","","","0.957241326620153","41.8","5","12","5","2","0","0","0","","","","","","","","","","","","","","",""
"Shakeout Zwift","Bike","","","","2018-07-30","","25667.75","212","360","580.375","","0.760349750518799","9.3769998550415","","0","","0","0","","","0.799159932006285","48.19","","","","","","","","","","","3","18","17","6","1","0","","","","","",""
"Running","Run","","","","2018-08-01","","6463.89990234375","","",""," *08/01/2018 David Henkel: TomTom MySports Watch*","0.504444420337677","2.94000005722046","","","","150","169","","","1.00374679347707","55.35","5","11","10","3","0","0","0","","","","","","","","","","","","","","",""
"Condo Pool Swim","Swim","","","","2018-08-01","","1610.46997070313","","",""," *08/01/2018 David Henkel: TomTom MySports Watch*","0.435277789831162","0.810000002384186","","","","110","159","","","0.899160857914925","31.64","10","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"One lap of Zwift was enough","Bike","","","","2018-08-03","","24676.650390625","235","594","736.927","","0.870555579662323","7.8730001449585","","0","","0","0","","","0.941658424845642","76.51","","","","","","","","","","","7","12","12","10","8","4","","","","","",""
"Running","Run","","","","2018-08-03","","3276.85009765625","","",""," *08/03/2018 David Henkel: TomTom MySports Watch*","0.24944444000721","2.41000008583069","","","","154","205","","","0.998821224436835","26.63","4","2","2","2","1","1","1","","","","","","","","","","","","","","",""
"Condo swim with 10 x 100","Swim","","","","2018-08-04","","2214.38989257813","","",""," *08/04/2018 David Henkel: TomTom MySports Watch*","0.499444454908371","0.829999983310699","","","","119","153","","","1.07750219673946","62.48","18","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-08-04","","22834.83984375","219","514","525.743","","0.667501091957092","9.50300025939941","","88","","","","","","0.902739949088747","53.57","","","","","","","","","","","8","5","8","12","6","1","","","","","",""
"Running","Run","","","","2018-08-04","","3239.5","","",""," *08/04/2018 David Henkel: TomTom MySports Watch*","0.236111104488373","3.42000007629395","","","","159","176","","","1.04939531085503","27.78","1","2","4","5","1","1","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-08-05","","43593.3984375","200","565","966.241","","1.34045171737671","9.03400039672852","","84","","","","","","0.830474760183844","91.55","","","","","","","","","","","18","16","21","15","7","3","","","","","",""
"Condo pool swim","Swim","","","","2018-08-06","","1683.44995117188","","",""," *08/06/2018 David Henkel: TomTom MySports Watch*","0.384999990463257","0.509999990463257","","","","96","127","","","1.06265125661758","46.2","4","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - Watopia","Bike","","","","2018-08-07","","29524.58984375","222","437","677.346","","0.848888874053955","9.66100025177002","","0","","0","0","","","0.857593996061878","61.92","","","","","","","","","","","5","20","14","5","7","2","","","","","",""
"","Swim","","","","2018-08-08","","1371.59999791517","","","","","0.366666666666667","1.03909090751149","","","","","","","","0.909090909090909","27.55","","","","","","","","","","","","","","","","","","","","","",""
"","Run","Starting in VIenna, run on the WOD with a pickups","","","2018-08-08","","5278.64995308761","","","","","0.402222222222222","3.64547648693895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Innsbruck","Bike","","","","2018-08-09","","17768.470703125","232","568","428.358","","0.513055562973022","9.61999988555908","","0","","0","0","","","0.930560551854542","43.76","","","","","","","","","","","3","10","7","4","3","3","","","","","",""
"","Day Off","Rest","","","2018-08-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25': Openers","Bike","Openers...loosen the legs and get them ready to fire! Ride between 90-100 rpm. . 10' WU . 2 x (1' @ perceived race pace + 4' Recovery) . 5' Easy","","","2018-08-11","","13336.91015625","185","384","261.021","","0.392384171485901","9.44200038909912","","87","","","","","","0.772028581138478","22.91","","","","","","","","","","","6","7","4","4","2","0","","","","","",""
"Cycling","Bike","","","","2018-08-12","","19567.759765625","240","780","422.659","","0.489561676979065","11.1029996871948","","90","","","","","","0.967611429315238","45.09","","","","","","","","","","","5","4","5","5","5","5","","","","","",""
"Running","Run","","","","2018-08-12","","2677.40991210938","","",""," *08/13/2018 David Henkel: TomTom MySports Watch*","0.178888887166977","4.15999984741211","","","","164","187","","","1.17160522260468","26.06","1","1","2","5","1","2","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-08-12","","2752.6298828125","","",""," *08/13/2018 David Henkel: TomTom MySports Watch*","0.174444437026978","4.38000011444092","","","","164","181","","","1.21764479170241","27.47","0","1","2","4","2","2","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-08-14","","7247.5400390625","","",""," *08/14/2018 David Henkel: TomTom MySports Watch*","0.620833337306976","2.20000004768372","","","","149","177","","","0.906634716210336","55.89","8","14","9","3","1","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-08-15","","23036.5","","",""," *08/16/2018 David Henkel: TomTom MySports Watch*","1.1691666841507","5.46999979019165","","","","114","149","","","0.599653637193518","46.76","36","33","1","0","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-08-16","","26633.640625","","",""," *08/16/2018 David Henkel: TomTom MySports Watch*","1.31472218036652","5.63000011444092","","","","122","156","","","0.602233149071665","53.17","21","57","2","0","0","","","","","","","","","","","","","","","","",""
"","Swim","Recovery swim","","","2018-08-17","","914.399998610112","","","","","0.25","1.01599999845568","","","","","","","","0.888888888888889","17.56","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-08-18","","104767.296875","165","669","1861.824","","3.15613412857056","9.2209997177124","","83","","","","","","0.665790854158393","139.75","","","","","","","","","","","71","64","33","12","5","4","","","","","",""
"Cycling","Bike","","","","2018-08-19","","3630.52001953125","","",""," *08/20/2018 David Henkel: TomTom MySports Watch*","0.210277780890465","2.90000009536743","","","","128","150","","","0.640412608585398","9.19","2","9","2","0","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-08-19","","23221.490234375","","",""," *08/21/2018 David Henkel: TomTom MySports Watch*","0.759722232818604","8.48999977111816","","","","163","177","","","0.873533905640072","63.78","2","1","1","42","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-08-19","","1982.27001953125","","",""," *08/21/2018 David Henkel: TomTom MySports Watch*","0.33500000834465","1.63999998569489","","","","106","134","","","0.597367928644752","12.9","15","5","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-08-21","","7508.68017578125","","",""," *08/21/2018 David Henkel: TomTom MySports Watch*","0.62111109495163","2.75999999046326","","","","150","172","","","0.96261346150371","62.97","6","13","9","6","1","0","0","","","","","","","","","","","","","","",""
"Running","Swim","","","","2018-08-22","","2253.51000976563","","",""," *08/23/2018 David Henkel: TomTom MySports Watch*","0.504444420337677","1.01999998092651","","","","139","181","","","0.347753306497165","2.12","9","5","3","5","2","1","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-08-23","","8123.6298828125","","",""," *08/23/2018 David Henkel: TomTom MySports Watch*","0.71277779340744","2.10999989509583","","","","152","191","","","0.911916530671623","65.11","8","11","11","7","2","1","1","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-08-23","","23333.490234375","","","","","1.06658172607422","6.0770001411438","","","","","","","","","46","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-08-25","","11323.91015625","","",""," *08/25/2018 David Henkel: TomTom MySports Watch*","1.02472221851349","2.46000003814697","","","","139","177","","","0.849172745608293","81.88","32","19","5","1","0","0","0","","","","","","","","","","","","","","",""
"","Swim","","","","2018-08-25","","1645.9199974982","","","","","0.45","1.01599999845568","","","","","","","","0.888888888888889","31.6","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-08-27","","6953.60009765625","","",""," *08/27/2018 David Henkel: TomTom MySports Watch*","0.673055529594421","1.44000005722046","","","","154","181","","","0.815587972156776","49.09","6","9","12","9","1","2","0","","","","","","","","","","","","","","",""
"Running","Swim","","","","2018-08-27","","2209.6298828125","","",""," *08/28/2018 David Henkel: TomTom MySports Watch*","0.538611114025116","0.810000002384186","","","","119","161","","","0.319351766770334","1.75","18","3","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-08-29","","40373.9296875","","",""," *08/30/2018 David Henkel: TomTom MySports Watch*","2","5.607490234375","","","","134","166","","","0.657423065415328","117.37","19","73","51","2","0","","","","","","","","","","","","","","","","",""
"Quick ride before train to CT","Bike","","","","2018-08-31","","25864.310546875","229","423","635.11","","0.771944463253021","9.30700016021729","","0","","0","0","","","0.887192456357948","60.16","","","","","","","","","","","4","13","15","8","4","3","","","","","",""
"Running","Run","","","","2018-09-01","","10069.5498046875","","",""," *09/01/2018 David Henkel: TomTom MySports Watch*","0.854444444179535","2.94000005722046","","","","147","183","","","0.860525876932313","69.82","15","27","4","2","1","1","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-02","","10967.7099609375","","",""," *09/02/2018 David Henkel: TomTom MySports Watch*","1.04194450378418","2.07999992370605","","","","139","175","","","0.791923494754176","72.5","31","16","7","2","1","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-04","","5235.580078125","","",""," *09/05/2018 David Henkel: TomTom MySports Watch*","0.469999998807907","2.24000000953674","","","","132","155","","","0.831417721118643","35.32","22","4","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-05","","8080.740234375","","",""," *09/05/2018 David Henkel: TomTom MySports Watch*","0.685555577278137","2.46000003814697","","","","149","171","","","0.915189442653531","62.99","11","10","8","10","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-09-06","","37658.96875","","",""," *09/07/2018 David Henkel: TomTom MySports Watch*","2.09999990463257","4.98000001907349","","","","122","159","","","0.615199257970645","89.69","41","70","16","0","0","","","","","","","","","","","","","","","","",""
"Cape May Swim","Swim","","","","2018-09-07","","3221.17993164063","","",""," *09/07/2018 David Henkel: TomTom MySports Watch*","0.632499992847443","0.939999997615814","","","","150","184","","","0.396441909225663","3.94","11","6","4","8","4","2","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-08","","9819.650390625","","",""," *09/09/2018 David Henkel: TomTom MySports Watch*","0.792222201824188","2.46000003814697","","","","146","188","","","0.939584529037684","77.03","15","22","5","1","0","1","1","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-09","","8220.3203125","","",""," *09/09/2018 David Henkel: TomTom MySports Watch*","0.639999985694885","3.02999997138977","","","","148","163","","","0.978911623208813","67.16","7","24","6","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-11","","7087.81005859375","","",""," *09/15/2018 David Henkel: TomTom MySports Watch*","0.583611130714417","2.84999990463257","","","","144","168","","","0.94308566684739","56.73","15","15","3","2","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-13","","8163.509765625","","",""," *09/15/2018 David Henkel: TomTom MySports Watch*","0.721944451332092","2.65000009536743","","","","145","166","","","0.882319683753656","61.75","14","24","3","1","0","0","0","","","","","","","","","","","","","","",""
"Opening the legs up","Bike","","","","2018-09-14","","17801.1796875","200","382","369.971","","0.514999985694885","9.60099983215332","","0","","0","0","","","0.752584363292974","28.75","","","","","","","","","","","5","15","9","2","1","0","","","","","",""
"Running","Run","","","","2018-09-15","","1423.22998046875","","",""," *09/15/2018 David Henkel: TomTom MySports Watch*","0.120277777314186","2.24000000953674","","","","141","160","","","0.859672725809575","9.34","3","4","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-15","","4996.33984375","","",""," *09/15/2018 David Henkel: TomTom MySports Watch*","0.436944454908371","2.71000003814697","","","","144","163","","","0.879819173746083","36.7","8","15","3","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-15","","4989.72998046875","","",""," *09/15/2018 David Henkel: TomTom MySports Watch*","0.323611110448837","4.28000020980835","","","","173","213","","","1.18449344418004","48.9","0","1","4","4","1","2","4","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-09-15","","22610.41015625","","",""," *09/15/2018 David Henkel: TomTom MySports Watch*","1.24777781963348","4.55000019073486","","","","113","158","","","0.606869533324801","51.19","42","26","7","0","0","","","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2018-09-17","","5310.83984375","","",""," *09/20/2018 David Henkel: TomTom MySports Watch*","0.417222231626511","3.53999996185303","","","","156","175","","","1.0095874249745","46.09","1","9","6","7","2","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-18","","8643.080078125","","",""," *09/22/2018 David Henkel: TomTom MySports Watch*","0.753055572509766","2.76999998092651","","","","146","170","","","0.901961524482245","67.39","13","22","7","2","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-09-19","","40657.5703125","183","674","980.069","","1.49175667762756","7.57100009918213","","82","","","","","","0.881494785263417","115.38","","","","","","","","","","","38","19","10","7","7","10","","","","","",""
"","Run","Short run on the Mall","","","2018-09-20","","5954.57464220248","","","","","0.466666666666667","3.54438966797767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-21","","4906.06982421875","","",""," *09/22/2018 David Henkel: TomTom MySports Watch*","0.431388884782791","2.64000010490417","","","","132","169","","","0.886392205630551","36.77","20","2","1","1","0","0","0","","","","","","","","","","","","","","",""
"WU Body Surfing Cape May Waves","Swim","","","","2018-09-22","","902.640014648438","","",""," *09/22/2018 David Henkel: TomTom MySports Watch*","0.120833329856396","1.01999998092651","","","","110","147","","","0.581504309617156","2.38","3","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Swim #2","Swim","","","","2018-09-22","","1219.65002441406","","",""," *09/22/2018 David Henkel: TomTom MySports Watch*","0.177777782082558","1.78999996185303","","","","129","147","","","0.534051137329879","2.71","10","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-22","","383.670013427734","","",""," *09/22/2018 David Henkel: TomTom MySports Watch*","0.0405555553734303","2.63000011444092","","","","124","151","","","0.756510108510074","2.37","1","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Swim #3","Swim","","","","2018-09-22","","1349.4599609375","","",""," *09/22/2018 David Henkel: TomTom MySports Watch*","0.218055561184883","1.54999995231628","","","","125","159","","","0.481745798178256","2.44","9","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-22","","1648","","",""," *09/22/2018 David Henkel: TomTom MySports Watch*","0.159722223877907","2.86999988555908","","","","144","157","","","0.786226282030265","10.45","3","6","1","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-09-22","","1622.69995117188","","",""," *09/22/2018 David Henkel: TomTom MySports Watch*","0.149722218513489","3.00999999046326","","","","147","166","","","0.809450545672096","10.38","1","3","3","2","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-09-22","","30443.849609375","158","732","614.78","","1.0838235616684","7.80299997329712","","83","","","","","","0.689190233714687","51.21","","","","","","","","","","","28","21","9","4","1","2","","","","","",""
"Running","Run","","","","2018-09-23","","6629.759765625","","",""," *09/23/2018 David Henkel: TomTom MySports Watch*","0.518333315849304","3.16000008583069","","","","154","175","","","0.988798651416759","55.23","2","10","10","7","1","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2018-09-24","","5246.47021484375","","",""," *09/25/2018 David Henkel: TomTom MySports Watch*","0.421944439411163","3.45000004768372","","","","147","171","","","0.977472822660384","43.68","8","13","3","1","0","0","0","","","","","","","","","","","","","","",""
