"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"3 x water bottles & couple PRs","Bike","1. WARM UP 10 min @ 50% FTP 2. RAMP IT UP IN 3 STEPS Easy: 4 min @ 60% FTP Moderate: 4 min @ 75% FTP Moderately Hard: 4 min @ 90% FTP 3. RECOVERY, 5 MIN @ 55% FTP 4. REPEAT 3 TIMES 70.3 Pace: 10 min @ 87% FTP Max the aerobic engine: 3 min @ 130% FTP Recovery: 5 min @ 55% FTP 5. COOL DOWN 9 min @ 40% FTP","","","2018-02-03","","40339.05078125","243","661","1122.36","","1.28166666666667","8.74199962615967","","89","","0","0","","","0.963666853192621","118.29","","","","","","","","","","","11","16","20","16","10","8","","","","","",""
"","Other","Threshold Repeats (4 x 1 mile + .25 mile easy) Easy Speed (Track Repetition Pace for 8 x 200m with 2 min rest on the track)","","","2018-02-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"London getting attacked by McG & Morrison","Bike","Hayman’s three favorite indoor trainer sets for developing power and endurance. 1 3×20 minutes with 10 minute recovery, between 80-95% of functional threshold power (Hayman says his FTP seems to be lower for him on the trainer) 2 3x(5×40 seconds on, 20 seconds off) 3 7×5 minutes with 1 minute recovery","","","2018-02-04","","53510.69140625","218","731","1306.639","","1.66357367621528","8.9350004196167","","86","","0","0","","","0.868134515609921","119.63","","","","","","","","","","","16","33","29","14","6","5","","","","","",""
"Lap Swimming","Swim","","","","2018-02-05","","1828.80004882813","","","","","0.426566945181953","1.18809954674999","","25","","","","","","1.04191021364041","48.25","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-02-06","","6464.5498046875","","","","","0.484110534191132","3.70900011062622","","77","","","","","","1.00946834556425","53.61","","","","","","","","","","","","","","","","","","","","","",""
"Little Volcano Action","Bike","","","","2018-02-07","","34477.4296875","211","664","821.443","","1.07928697374132","8.8730001449585","","85","","0","0","","","0.908858917772884","83.64","","","","","","","","","","","13","19","15","10","5","3","","","","","",""
"2 Laps Richmond: Lap 1-PR, Lap 2-PR by 70""","Bike","","","","2018-02-09","","35057.75","233","642","840.949","","1.00444444444444","9.69499969482422","","91","","0","0","","","0.938386780965872","87.74","","","","","","","","","","","8","17","17","9","4","6","","","","","",""
"","Run","","","","2018-02-10","","5632.70574262397","","","","","0.433333333333333","3.61070880937434","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","",""
"Hammer Jungle Loop. Then go run","Bike","","","","2018-02-10","","19393.509765625","242","440","456.493","","0.523055555555556","10.298999786377","","93","","0","0","","","0.957892570473547","47.19","","","","","","","","","","","4","7","9","6","3","4","","","","","",""
"Running","Run","","","","2018-02-11","","4087.71997070313","","","","","0.351071685552597","3.23399996757507","","71","","","","","","0.894089495954398","30.29","","","","","","","","","","","","","","","","","","","","","",""
